question,correct_answer,student_answer,label,processed_correct_answer,processed_student_answer
What is a noun?,A noun is a word that names a person place thing or idea.,A noun names a person or thing.,1,noun word names person place thing idea,noun names person thing
What is a noun?,A noun is a word that names a person place thing or idea.,A verb describes an action.,0,noun word names person place thing idea,verb describes action
What is a verb?,A verb is a word that describes an action state or occurrence.,A verb is an action word.,1,verb word describes action state occurrence,verb action word
What is a verb?,A verb is a word that describes an action state or occurrence.,A noun names objects.,0,verb word describes action state occurrence,noun names objects
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.,Photosynthesis helps plants make food.,1,photosynthesis process plants make food using sunlight,photosynthesis helps plants make food
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.,Photosynthesis is how animals get energy.,0,photosynthesis process plants make food using sunlight,photosynthesis animals get energy
What is the capital of France?,The capital of France is Paris.,Paris is the capital of France.,1,capital france paris,paris capital france
What is the capital of France?,The capital of France is Paris.,Berlin is the capital of France.,0,capital france paris,berlin capital france
What is the square root of 64?,The square root of 64 is 8.,The square root of 64 is 8.,1,square root 64 8,square root 64 8
What is the square root of 64?,The square root of 64 is 8.,The square root of 64 is 9.,0,square root 64 8,square root 64 9
What is an adjective?,An adjective is a word that describes a noun.,An adjective describes a noun.,1,adjective word describes noun,adjective describes noun
What is an adjective?,An adjective is a word that describes a noun.,An adjective is a type of verb.,0,adjective word describes noun,adjective type verb
What is a synonym for 'big'?,A synonym for 'big' is 'large'.,A synonym for 'big' is 'huge'.,1,synonym,synonym
What is a synonym for 'big'?,A synonym for 'big' is 'large'.,A synonym for 'big' is 'tiny'.,0,synonym,synonym
What does 'benevolent' mean?,Benevolent means kind and charitable.,Benevolent describes kindness.,1,benevolent means kind charitable,benevolent describes kindness
What does 'benevolent' mean?,Benevolent means kind and charitable.,Benevolent means cruel and selfish.,0,benevolent means kind charitable,benevolent means cruel selfish
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,Water boils at 100 degrees Celsius.,1,boiling point water 100 degrees celsius,water boils 100 degrees celsius
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,Water freezes at 0 degrees Celsius.,0,boiling point water 100 degrees celsius,water freezes 0 degrees celsius
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,Jupiter is the largest planet.,1,largest planet solar system jupiter,jupiter largest planet
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,Mars is the largest planet.,0,largest planet solar system jupiter,mars largest planet
What is the capital of Germany?,The capital of Germany is Berlin.,Berlin is Germany's capital.,1,capital germany berlin,berlin germany capital
What is the capital of Germany?,The capital of Germany is Berlin.,Hamburg is the capital of Germany.,0,capital germany berlin,hamburg capital germany
What is the genre of 'To Kill a Mockingbird'?,The genre of 'To Kill a Mockingbird' is fiction.,'To Kill a Mockingbird' is a fiction novel.,1,genre kill mockingbird fiction,kill mockingbird fiction novel
What is the genre of 'To Kill a Mockingbird'?,The genre of 'To Kill a Mockingbird' is fiction.,'To Kill a Mockingbird' is a history book.,0,genre kill mockingbird fiction,kill mockingbird history book
What is the smallest country in the world?,The smallest country in the world is Vatican City.,Vatican City is the smallest country.,1,smallest country world vatican city,vatican city smallest country
What is the smallest country in the world?,The smallest country in the world is Vatican City.,Monaco is the smallest country.,0,smallest country world vatican city,monaco smallest country
What is the chemical symbol for Gold?,The chemical symbol for Gold is Au.,Gold is represented by the symbol Au.,1,chemical symbol gold au,gold represented symbol au
What is the chemical symbol for Gold?,The chemical symbol for Gold is Au.,Gold is represented by the symbol Ag.,0,chemical symbol gold au,gold represented symbol ag
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,Leonardo da Vinci painted the Mona Lisa.,1,mona lisa painted leonardo da vinci,leonardo da vinci painted mona lisa
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,Vincent van Gogh painted the Mona Lisa.,0,mona lisa painted leonardo da vinci,vincent van gogh painted mona lisa
