student_id,quiz_scores,time_spent,reading_volume,peer_comparison,past_performance_trend,performance_label
1001,78,178,533,1.39,0.36,At
1002,91,57,238,1.19,1.13,Above
1003,68,83,492,0.89,0.35,At
1004,54,94,361,0.87,0.73,Below
1005,82,129,530,0.96,0.95,At
1006,47,50,303,0.68,0.65,Below
1007,60,42,360,1.13,0.5,Below
1008,78,86,253,0.86,0.98,At
1009,97,78,233,1.35,1.01,Above
1010,58,147,441,1.26,1.13,Below
1011,62,83,312,1.11,0.64,Below
1012,50,167,517,0.86,0.76,Below
1013,50,82,222,0.71,0.63,Below
1014,63,73,757,1.28,0.53,Below
1015,92,76,317,0.99,0.98,Above
1016,75,82,411,0.72,0.61,At
1017,79,103,617,0.7,0.69,At
1018,63,75,312,0.67,0.66,Below
1019,42,42,243,1.28,0.94,Below
1020,61,194,327,0.73,1.13,Below
1021,92,131,357,1.03,0.9,Above
1022,41,53,593,0.95,0.72,Below
1023,63,31,711,1.08,1.0,Below
1024,83,110,244,1.38,0.88,At
1025,69,129,307,1.37,0.35,At
1026,77,171,418,0.95,0.39,At
1027,41,167,642,0.52,0.33,Below
1028,99,192,514,0.93,0.71,Above
1029,60,182,376,1.11,1.04,Below
1030,72,160,427,1.06,0.58,At
1031,51,140,466,1.15,0.65,Below
1032,97,131,578,0.65,1.12,Above
1033,61,46,688,1.15,1.05,Below
1034,83,41,489,0.68,0.9,At
1035,64,145,556,1.25,0.54,Below
1036,88,53,403,0.84,0.41,Above
1037,66,58,412,1.21,0.31,At
1038,98,182,751,0.55,0.4,Above
1039,81,151,522,0.91,0.56,At
1040,67,119,793,1.21,0.8,At
1041,99,94,380,0.73,0.36,Above
1042,55,113,698,1.3,0.42,Below
1043,54,148,519,1.13,0.46,Below
1044,86,185,282,1.09,0.87,Above
1045,90,45,502,0.85,0.85,Above
1046,83,133,461,0.98,0.8,At
1047,94,121,399,1.1,0.53,Above
1048,91,56,439,0.97,0.63,Above
1049,96,199,494,1.2,0.39,Above
1050,42,191,711,0.93,0.5,Below
1051,76,194,595,0.7,1.11,At
1052,90,163,337,0.71,1.18,Above
1053,46,164,328,0.51,0.88,Below
1054,60,182,248,0.8,1.13,Below
1055,48,62,492,1.25,0.88,Below
1056,78,84,735,1.29,0.33,At
1057,57,36,510,0.7,1.2,Below
1058,43,86,736,1.46,0.39,Below
1059,64,155,433,1.0,0.91,Below
1060,99,41,408,1.42,0.53,Above
1061,53,45,293,1.21,0.65,Below
1062,89,72,526,1.22,0.88,Above
1063,97,146,424,0.59,0.69,Above
1064,48,164,210,0.72,0.53,Below
1065,65,140,528,0.51,0.6,At
1066,92,80,211,1.22,0.61,Above
1067,41,189,234,0.84,1.16,Below
1068,59,104,646,1.29,1.02,Below
1069,67,37,651,0.84,0.71,At
1070,86,74,419,1.32,0.48,Above
1071,99,88,640,0.63,1.03,Above
1072,46,161,734,0.67,0.44,Below
1073,83,133,794,0.84,0.49,At
1074,47,186,428,0.91,0.63,Below
1075,86,186,543,0.85,1.09,Above
1076,74,127,279,1.26,0.42,At
1077,53,185,552,0.6,0.41,Below
1078,56,108,595,0.85,0.74,Below
1079,75,153,489,1.34,0.55,At
1080,89,33,654,0.57,0.81,Above
1081,79,119,327,1.44,0.71,At
1082,43,133,742,1.49,0.69,Below
1083,41,166,558,0.59,0.4,Below
1084,45,148,726,0.79,0.43,Below
1085,93,162,512,0.87,1.04,Above
1086,81,85,274,1.28,1.1,At
1087,43,125,745,1.1,0.51,Below
1088,93,104,395,1.14,0.4,Above
1089,68,172,228,1.26,0.35,At
1090,57,61,215,0.62,0.85,Below
1091,65,57,622,1.33,0.94,At
1092,83,51,788,1.21,0.64,At
1093,73,46,792,1.08,0.91,At
1094,49,88,604,1.39,0.94,Below
1095,75,119,730,1.2,1.14,At
1096,53,135,276,0.7,0.36,Below
1097,70,55,428,0.93,0.47,At
1098,87,54,496,0.99,0.36,Above
1099,54,167,709,0.56,1.08,Below
1100,47,74,772,1.45,1.01,Below
1101,53,112,737,0.63,0.82,Below
1102,62,40,782,1.2,0.38,Below
1103,99,133,525,1.01,0.55,Above
1104,96,97,562,0.53,0.57,Above
1105,79,124,558,1.42,0.8,At
1106,60,185,523,1.35,0.53,Below
1107,55,94,525,1.02,0.37,Below
1108,84,78,364,0.73,0.96,At
1109,57,81,772,0.62,0.57,Below
1110,86,131,654,0.86,0.71,Above
1111,92,86,352,0.76,0.41,Above
1112,63,76,326,1.01,1.02,Below
1113,65,188,392,1.47,0.81,At
1114,64,55,729,1.07,1.11,Below
1115,99,143,209,1.39,0.75,Above
1116,99,34,291,1.15,1.15,Above
1117,99,113,338,0.98,1.1,Above
1118,84,81,680,1.35,0.82,At
1119,80,134,648,0.97,1.14,At
1120,68,83,532,1.37,0.59,At
1121,54,190,539,0.79,0.63,Below
1122,84,195,251,0.63,0.34,At
1123,40,184,665,1.36,0.83,Below
1124,64,44,674,1.09,0.95,Below
1125,46,90,600,1.39,1.0,Below
1126,48,151,638,1.44,0.43,Below
1127,63,50,797,0.55,0.7,Below
1128,40,75,708,1.0,0.46,Below
1129,83,163,352,0.87,0.9,At
1130,47,67,713,1.13,0.44,Below
1131,63,91,702,1.29,1.11,Below
1132,50,115,205,0.78,0.51,Below
1133,90,107,699,1.06,0.56,Above
1134,56,75,317,1.21,1.07,Below
1135,47,170,684,0.63,0.71,Below
1136,74,32,667,1.31,0.32,At
1137,74,35,360,1.11,0.75,At
1138,72,122,469,1.45,0.38,At
1139,98,37,255,0.84,1.19,Above
1140,44,137,427,0.61,0.83,Below
1141,81,190,348,1.01,0.53,At
1142,78,104,245,0.59,0.81,At
1143,97,106,343,1.47,0.37,Above
1144,80,79,539,0.54,1.02,At
1145,67,40,612,1.25,1.13,At
1146,46,124,719,1.03,1.09,Below
1147,48,185,543,0.87,0.61,Below
1148,47,99,586,0.57,0.59,Below
1149,51,198,672,1.12,0.33,Below
1150,73,45,474,1.09,0.89,At
1151,72,97,552,0.78,0.78,At
1152,87,128,265,1.41,0.71,Above
1153,94,77,278,0.8,1.12,Above
1154,62,93,797,0.95,0.45,Below
1155,63,119,401,1.04,0.31,Below
1156,76,105,757,0.6,0.37,At
1157,74,168,312,1.43,0.5,At
1158,83,130,290,0.87,0.33,At
1159,79,118,340,0.58,0.75,At
1160,61,47,488,0.89,0.58,Below
1161,66,48,788,1.1,0.46,At
1162,74,84,610,1.01,0.98,At
1163,40,131,576,1.19,0.48,Below
1164,74,147,583,0.56,0.92,At
1165,76,183,351,0.78,0.61,At
1166,86,163,518,1.32,0.76,Above
1167,53,33,568,0.58,1.14,Below
1168,42,137,759,1.36,0.33,Below
1169,40,144,661,0.59,0.75,Below
1170,44,58,211,1.33,1.07,Below
1171,65,88,355,0.86,0.83,At
1172,94,154,676,1.11,0.55,Above
1173,53,127,600,0.65,0.66,Below
1174,78,46,376,0.57,0.91,At
1175,66,136,540,0.72,1.1,At
1176,48,72,256,0.63,0.34,Below
1177,54,109,647,0.81,0.36,Below
1178,54,191,402,1.01,0.59,Below
1179,65,37,401,1.09,0.51,At
1180,81,170,529,1.29,0.54,At
1181,99,135,562,1.16,0.5,Above
1182,52,37,653,1.11,0.48,Below
1183,90,125,555,0.91,0.42,Above
1184,71,123,415,0.97,1.14,At
1185,78,94,754,0.91,0.43,At
1186,88,68,222,1.34,0.48,Above
1187,91,110,354,0.73,0.52,Above
1188,71,113,385,0.51,1.14,At
1189,43,117,448,1.15,0.98,Below
1190,69,115,333,0.7,1.01,At
1191,76,122,520,1.39,0.39,At
1192,62,115,589,1.36,1.05,Below
1193,78,73,633,0.58,0.67,At
1194,84,166,221,0.61,0.54,At
1195,54,194,799,1.0,0.82,Below
1196,82,103,324,1.11,1.04,At
1197,68,65,278,0.77,1.0,At
1198,75,130,250,1.22,1.1,At
1199,52,185,375,1.09,1.14,Below
1200,71,199,452,0.82,0.51,At
1201,46,199,445,0.53,0.68,Below
1202,98,133,305,1.25,0.31,Above
1203,90,95,392,0.71,1.09,Above
1204,61,84,515,1.33,0.44,Below
1205,67,120,501,0.92,1.08,At
1206,41,51,747,1.08,0.6,Below
1207,81,130,467,1.37,0.63,At
1208,84,184,369,1.36,0.34,At
1209,96,150,750,0.87,0.59,Above
1210,92,122,654,0.71,1.1,Above
1211,45,137,491,1.28,0.32,Below
1212,67,170,763,0.93,0.67,At
1213,67,39,340,0.69,0.33,At
