student_id,quiz_scores,time_spent,reading_volume,peer_comparison,past_performance_trend,performance_label
1001,78,116,755,0.76,0.92,At
1002,91,110,266,0.65,1.09,Below
1003,68,95,355,1.24,0.57,At
1004,54,48,405,0.91,0.57,Below
1005,82,164,354,0.56,0.97,Below
1006,47,147,708,1.37,0.51,Below
1007,60,71,771,1.06,1.12,Below
1008,78,71,273,0.83,0.78,At
1009,97,88,248,0.84,0.57,At
1010,58,49,666,0.79,1.0,Below
1011,62,102,784,0.96,0.58,Below
1012,50,46,378,0.84,1.17,Below
1013,50,56,247,1.05,1.18,Below
1014,63,31,271,1.27,0.9,Below
1015,92,92,312,1.17,0.4,At
1016,75,91,358,0.79,0.54,At
1017,79,129,229,1.03,0.76,At
1018,63,48,296,1.34,1.07,Below
1019,42,46,450,0.57,0.47,Below
1020,61,98,718,0.58,0.39,Below
1021,92,196,291,1.06,0.37,At
1022,41,146,312,1.14,0.76,Below
1023,63,110,458,0.71,1.1,Below
1024,83,68,306,1.25,0.34,At
1025,69,65,774,1.15,0.49,At
1026,77,197,589,1.42,0.92,At
1027,41,161,557,0.67,1.04,Below
1028,99,182,398,1.25,1.03,Above
1029,60,187,626,0.58,1.01,Below
1030,72,58,677,1.07,0.42,At
1031,51,80,702,1.05,0.66,Below
1032,97,181,772,0.89,1.19,At
1033,61,43,319,1.34,1.19,Below
1034,83,98,772,0.5,0.84,Below
1035,64,175,508,1.02,0.94,Below
1036,88,199,737,0.72,1.16,At
1037,66,86,674,1.24,0.7,At
1038,98,41,751,0.54,0.42,Below
1039,81,46,543,1.33,0.9,Below
1040,67,59,335,1.34,1.16,At
1041,99,117,476,1.33,0.93,Above
1042,55,128,732,0.65,1.02,Below
1043,54,52,230,1.13,0.68,Below
1044,86,158,446,0.51,0.39,Below
1045,90,108,610,1.35,0.45,At
1046,83,61,226,1.22,1.18,At
1047,94,38,272,1.03,0.74,Below
1048,91,44,296,1.23,0.31,Below
1049,96,185,545,0.59,1.16,Below
1050,42,181,675,1.03,0.75,Below
1051,76,192,499,0.79,1.05,At
1052,90,56,498,1.47,0.79,At
